company,Year,Есть ли RAEX/RSPP/NKR рейтинг у компании?,Источник
лср,17,TRUE,Новости
лузалес,20,TRUE,Новости
лузалес,21,TRUE,Новости
лузалес,22,TRUE,Новости
лузалес,23,TRUE,Новости
лузалес,24,TRUE,Новости
лукойл,20,TRUE,Новости
лукойл,21,TRUE,Новости
лукойл,23,TRUE,Новости
лукойл,16,TRUE,Новости
лукойл,17,TRUE,Новости
м,19,TRUE,Новости
м,20,TRUE,Новости
м,21,TRUE,Новости
м.видео,20,TRUE,Новости
м.видео,21,TRUE,Новости
м.видео-эльдорадо,20,TRUE,Новости
м.видео-эльдорадо,21,FALSE,Новости
м.видео-эльдорадо,22,FALSE,Новости
м.видео-эльдорадо,23,FALSE,Новости
м.видео-эльдорадо,24,FALSE,Новости
магистраль северной столицы,20,TRUE,Новости
магистраль северной столицы,21,TRUE,Новости
магистраль северной столицы,22,TRUE,Новости
магистраль северной столицы,23,TRUE,Новости
магистраль северной столицы,24,TRUE,Новости
магнитогорский металлургический комбинат,18,TRUE,Новости
магнитогорский металлургический комбинат,23,TRUE,Новости
магнитогорский металлургический комбинат,16,TRUE,Новости
магнитогорский металлургический комбинат,17,TRUE,Новости
мвидео,23,TRUE,Новости
мегалайн,20,TRUE,Новости
мегалайн,21,TRUE,Новости
мегалайн,22,TRUE,Новости
мегалайн,23,TRUE,Новости
мегалайн,24,TRUE,Новости
мегафон,17,TRUE,Новости
международный_аэропорт_шереметьево,20,TRUE,Новости
мероприятие 56. текст тз,23,TRUE,Новости
металлоинвест,16,TRUE,Новости
металлоинвест,17,TRUE,Новости
металлоинвест,18,TRUE,Новости
металлоинвест,19,TRUE,Новости
металлоинвест,20,FALSE,Новости
металлоинвест,21,FALSE,Новости
метеор лифт,20,TRUE,Новости
метеор лифт,21,TRUE,Новости
метеор лифт,22,TRUE,Новости
метеор лифт,23,TRUE,Новости
метеор лифт,24,TRUE,Новости
мечел,20,FALSE,Новости
мечел,21,TRUE,Новости
мечел,22,FALSE,Новости
мечел,23,FALSE,Новости
мечел,24,FALSE,Новости
мираторг,22,TRUE,Новости
мк эн+ холдинг,21,TRUE,Новости
мк эн+ холдинг,22,TRUE,Новости
ммк,20,TRUE,Новости
ммк,22,TRUE,Новости
модум-транс,24,TRUE,Новости
монди монди слпк,19,TRUE,Новости
монди монди слпк,20,TRUE,Новости
монди монди слпк,21,TRUE,Новости
монди монди слпк,22,TRUE,Новости
монди монди слпк,23,TRUE,Новости
монди монди слпк,24,TRUE,Новости
морской порт санкт-петербург,20,TRUE,Новости
морской порт санкт-петербург,21,TRUE,Новости
морской порт санкт-петербург,22,TRUE,Новости
морской порт санкт-петербург,23,TRUE,Новости
морской порт санкт-петербург,24,TRUE,Новости
московский кредитный банк,23,TRUE,Новости
мрск сибири,20,TRUE,Новости
мрск сибири,21,TRUE,Новости
мрск урала,21,TRUE,Новости
мрск центра,20,TRUE,Новости
мрск центра,21,TRUE,Новости
мсп,20,TRUE,Новости
мтс,16,TRUE,Новости
мтс,17,TRUE,Новости
мхк еврохим,16,TRUE,Новости
мхк еврохим,17,TRUE,Новости
невские берега,20,TRUE,Новости
невские берега,21,TRUE,Новости
невские берега,22,TRUE,Новости
невские берега,23,TRUE,Новости
невские берега,24,TRUE,Новости
нижнекамскнефтехим,17,TRUE,Новости
нк казмунайгаз,21,TRUE,Новости
нлмк,16,TRUE,Новости
нлмк,17,TRUE,Новости
новатек,23,TRUE,Новости
новатэк,16,TRUE,Новости
новатэк,17,TRUE,Новости
новороссийский морской торговый порт,19,TRUE,Новости
новороссийский морской торговый порт,20,TRUE,Новости
новороссийский морской торговый порт,21,TRUE,Новости
новороссийский морской торговый порт,22,TRUE,Новости
новороссийский морской торговый порт,23,TRUE,Новости
норебо,20,TRUE,Новости
норебо,21,TRUE,Новости
норебо,22,TRUE,Новости
норебо,23,TRUE,Новости
норебо,24,TRUE,Новости
норильский никель,23,TRUE,Новости
норильский никель,16,TRUE,Новости
норильский никель,17,TRUE,Новости
норильский никель,18,TRUE,Новости
норильский никель,19,TRUE,Новости
норильский никель,20,FALSE,Новости
норильский никель,21,FALSE,Новости
норильский никель,22,FALSE,Новости
норильский никель,23,FALSE,Новости
норильский никель,24,FALSE,Новости
нпк катрен,23,TRUE,Новости
нпк катрен,24,TRUE,Новости
нпп радар ммс,20,TRUE,Новости
нпп радар ммс,21,TRUE,Новости
нпп радар ммс,22,TRUE,Новости
нпп радар ммс,23,TRUE,Новости
нпп радар ммс,24,TRUE,Новости
нэо,20,TRUE,Новости
нэо,21,TRUE,Новости
нэо,22,TRUE,Новости
нэо,23,TRUE,Новости
нэо,24,TRUE,Новости
о'кей,19,TRUE,Новости
о'кей,20,TRUE,Новости
о'кей,21,TRUE,Новости
о'кей,22,TRUE,Новости
общероссийское_отраслевое_объединение_работодателей_электроэнергетики,20,TRUE,Новости
общероссийское_отраслевое_объединение_работодателей_электроэнергетики,21,TRUE,Новости
общероссийское_отраслевое_объединение_работодателей_электроэнергетики,22,TRUE,Новости
общественная организация инвалидов г. пскова,20,TRUE,Новости
общественная организация инвалидов г. пскова,21,TRUE,Новости
общественная организация инвалидов г. пскова,22,TRUE,Новости
общественная организация инвалидов г. пскова,23,TRUE,Новости
общественная организация инвалидов г. пскова,24,TRUE,Новости
объединенная металлургическая компания,16,TRUE,Новости
объединенная металлургическая компания,17,TRUE,Новости
объединенная металлургическая компания,24,FALSE,Новости
объединенная судостроительная корпорация,17,TRUE,Новости
объединенная судостроительная корпорация,18,TRUE,Новости
объединенная судостроительная корпорация,19,TRUE,Новости
объединенная судостроительная корпорация,20,TRUE,Новости
объединенная судостроительная корпорация,21,TRUE,Новости
огк,20,TRUE,Новости
ожд октябрьская железная дорога,20,TRUE,Новости
ожд октябрьская железная дорога,21,TRUE,Новости
ожд октябрьская железная дорога,22,TRUE,Новости
ожд октябрьская железная дорога,23,TRUE,Новости
ожд октябрьская железная дорога,24,TRUE,Новости
ок русал,20,TRUE,Новости
ок русал,21,TRUE,Новости
омк,20,TRUE,Новости
омк,21,TRUE,Новости
онежский судостроительный завод,20,TRUE,Новости
онежский судостроительный завод,21,TRUE,Новости
онежский судостроительный завод,22,TRUE,Новости
онежский судостроительный завод,23,TRUE,Новости
онежский судостроительный завод,24,TRUE,Новости
оск 1520,20,TRUE,Новости
оск 1520,21,TRUE,Новости
охк уралхим,21,TRUE,Новости
оэз санкт-петербург,20,TRUE,Новости
оэз санкт-петербург,21,TRUE,Новости
оэз санкт-петербург,22,TRUE,Новости
оэз санкт-петербург,23,TRUE,Новости
оэз санкт-петербург,24,TRUE,Новости
пао__россети_московский_регион,20,TRUE,Новости
пао__россети_московский_регион,21,TRUE,Новости
первая грузовая компания,20,TRUE,Новости
первый контейнерный терминал,20,TRUE,Новости
первый контейнерный терминал,21,TRUE,Новости
первый контейнерный терминал,22,TRUE,Новости
первый контейнерный терминал,23,TRUE,Новости
первый контейнерный терминал,24,TRUE,Новости
петербургский метрополитен,22,TRUE,Новости
